CASE Number,Accident Date,Accident Time,Day of Week,Nearest Street,At Intersection,Precinct,Zone ID,Number of Vehicles Involved,Location of First Harmful Event,Weather Condition,Light Conditions,Traffic Control Device,Traffic Control Type,Roadway Alignment,Roadway Surface Condition,Roadway Surface type,Roadway Description,Roadway defects,Relation to Roadway,Intersection Type,Work Zone Related,Workers Present in Work Zone,Work Zone Location,Work Zone Type,School Zone,Type of Collision,Location 1
2016045740.0,11/04/2016,2206,FRI,TOWER BRIDGE LP,Yes,1.0,124.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,SIDESWIPE-SAME DIRECTION,"2000 LONDON BRIDGE RD
VIRGINIA BEACH, VA
(36.778861, -76.042239)"
2016048809.0,11/28/2016,830,MON,PARKLAND LA,Yes,4.0,421.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"5500 INDIAN RIVER RD
VIRGINIA BEACH, VA
(36.800953, -76.181782)"
2016044967.0,10/30/2016,1534,SUN,1342 LONDON BRIDGE RD,Yes,1.0,124.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"2799 SONIC DR
VIRGINIA BEACH, VA
(36.799999, -76.065028)"
2016049089.0,11/30/2016,854,WED,BONNEY RD,Yes,4.0,423.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"4700 BAXTER RD
VIRGINIA BEACH, VA
(36.830638, -76.138148)"
2016048054.0,11/21/2016,1614,MON,2200 LAKESIDE DR N,Yes,2.0,221.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1300 GREAT NECK RD N
VIRGINIA BEACH, VA
(36.874556, -76.039505)"
2016048408.0,11/24/2016,1335,THU,35TH ST,Yes,2.0,227.0,2,ON ROADWAY,MIST,DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,MAIN-LINE ROADWAY,FOUR APPROACHES,NO,,,,NO,ANGLE,"3499 PACIFIC AV
VIRGINIA BEACH, VA
(36.863009, -75.980269)"
2016048778.0,11/27/2016,1820,SUN,BERRY PICK LA,99999 Feet From,3.0,327.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,SIDESWIPE-SAME DIRECTION,"5000 HOLLY FARMS DR
VIRGINIA BEACH, VA
(36.855613, -76.155046)"
2016050621.0,12/11/2016,1525,SUN,1900 INDEPENDENCE BL,00.20 Miles From,3.0,329.0,1,SHOULDER,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,ON/OFF RAMP,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,ON ENTRANCE/EXIT RAMP,NOT AT INTERSECTION,NO,,,,NO,OTHER,"4973 NORTHAMPTON BL
VIRGINIA BEACH, VA
(36.894988, -76.156502)"
2016045237.0,11/01/2016,1441,TUE,LONDON BRIDGE RD,Yes,1.0,124.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,YIELD SIGN,STRAIGHT-LEVEL,DRY,CONCRETE,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,SIDESWIPE-SAME DIRECTION,"2301 DAM NECK RD
VIRGINIA BEACH, VA
(36.784539, -76.049689)"
2016048007.0,11/21/2016,1116,MON,GENERAL BOOTH BL,Yes,1.0,123.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"1072 DAM NECK
VIRGINIA BEACH, VA
(36.786137, -75.997641)"
2016046148.0,11/07/2016,1953,MON,SKYLARK AV,Yes,1.0,124.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,REAR END,"3099 SHIPPS CORNER RD
VIRGINIA BEACH, VA
(36.793265, -76.076633)"
2016050410.0,12/10/2016,1647,SAT,KEMPSRIVER DR,Yes,4.0,422.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,TWO APPROACHES,NO,,,,NO,ANGLE,"1499 FORDHAM DR
VIRGINIA BEACH, VA
(36.800728, -76.178442)"
2016046220.0,11/08/2016,1219,TUE,INVESTORS PL,Yes,4.0,427.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,CONCRETE,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,MAIN-LINE ROADWAY,FOUR APPROACHES,NO,,,,NO,ANGLE,"400 INDEPENDENCE BL S
VIRGINIA BEACH, VA
(36.828632, -76.134522)"
2016046997.0,11/14/2016,1127,MON,TOWN CENTER DR,Yes,3.0,324.0,2,ON ROADWAY,RAIN,DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"4533 COLUMBUS ST
VIRGINIA BEACH, VA
(36.840953, -76.133227)"
2016047626.0,11/18/2016,1625,FRI,ROSEMONT RD S,Yes,1.0,128.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,SIDESWIPE-SAME DIRECTION,"3299 BUCKNER BL
VIRGINIA BEACH, VA
(36.789767, -76.094931)"
2016046258.0,11/08/2016,1700,TUE,LAKE EDWARD DR,Yes,3.0,325.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DUSK,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,HEAD ON,"530 NEWTOWN RD
VIRGINIA BEACH, VA
(36.857648, -76.176639)"
2016052545.0,12/26/2016,1913,MON,INDEPENDENCE BL S,Yes,4.0,426.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"4301 SILVERLEAF DR
VIRGINIA BEACH, VA
(36.821844, -76.127316)"
2016043391.0,10/19/2016,1720,WED,BURTON STATION RD,Yes,3.0,326.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,REAR END,"5800 NORTHAMPTON BL
VIRGINIA BEACH, VA
(36.882286, -76.185245)"
2016048500.0,11/25/2016,1340,FRI,WINDSOR OAKS BL,Yes,4.0,427.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"3962 HOLLAND RD
VIRGINIA BEACH, VA
(36.816273, -76.111593)"
2016046823.0,11/12/2016,2016,SAT,WINDSOR OAKS BL,Yes,4.0,428.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,TWO APPROACHES,NO,,,,NO,HEAD ON,"1798 INDEPENDENCE BL S
VIRGINIA BEACH, VA
(36.806404, -76.117152)"
2016051784.0,12/19/2016,1830,MON,1800 OLD DONATION PW,Yes,2.0,223.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"1100 FIRST COLONIAL RD
VIRGINIA BEACH, VA
(36.820357, -75.997995)"
2016049174.0,11/30/2016,1717,WED,BAYSIDE RD,Yes,3.0,331.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"1498 DIAMOND SPRINGS RD
VIRGINIA BEACH, VA
(36.8947, -76.180906)"
2016046130.0,11/07/2016,1954,MON,QUARTERS WY,Yes,4.0,424.0,1,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,MAIN-LINE ROADWAY,THREE APPROACHES,NO,,,,NO,OTHER,"2300 LYNNHAVEN PW
VIRGINIA BEACH, VA
(36.787587, -76.145054)"
2016044673.0,10/28/2016,1458,FRI,5301 LILA LA,Yes,4.0,421.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"5341 INDIAN RIVER RD
VIRGINIA BEACH, VA
(36.798636, -76.177391)"
2016048487.0,11/25/2016,1125,FRI,ROSEMONT RD S,Yes,3.0,321.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"3600 BONNEY RD BLK
VIRGINIA BEACH, VA
(36.83935, -76.098213)"
2016047178.0,11/15/2016,1751,TUE,FERRELL PW,Yes,4.0,425.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,CONCRETE,"TWO-WAY, NOT DIVIDED",NO DEFECTS,MAIN-LINE ROADWAY,TWO APPROACHES,NO,,,,NO,ANGLE,"1398 SALEM RD
VIRGINIA BEACH, VA
(36.796704, -76.128114)"
2016048535.0,11/25/2016,1807,FRI,LONDON BRIDGE RD,Yes,1.0,122.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"2101 GENERAL BOOTH BL
VIRGINIA BEACH, VA
(36.768089, -76.013304)"
2016048489.0,11/25/2016,1135,FRI,LYNNHAVEN PW,00.50 Miles From,4.0,424.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"4100 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.791895, -76.116736)"
2016043769.0,10/22/2016,820,SAT,SILINA DR,Yes,4.0,427.0,6,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-OUTSIDE 150`,FOUR APPROACHES,NO,,,,NO,SIDESWIPE-SAME DIRECTION,"400 ROSEMONT RD S
VIRGINIA BEACH, VA
(36.827773, -76.095696)"
2016047542.0,11/18/2016,726,FRI,3600 HOLLAND RD,Yes,4.0,428.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"789 ROSEMONT RD S
VIRGINIA BEACH, VA
(36.813844, -76.098139)"
2016045032.0,10/31/2016,704,MON,DA VINCI DR,Yes,1.0,123.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAWN,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,ANGLE,"600 OLD DAM NECK RD
VIRGINIA BEACH, VA
(36.776209, -75.984775)"
2016051883.0,12/20/2016,1420,TUE,CELLAR DOOR WY,00.05 Miles From,1.0,125.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,CURVE-LEVEL,DRY,CONCRETE,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"3881 DAM NECK RD
VIRGINIA BEACH, VA
(36.768192, -76.098583)"
2016041439.0,10/06/2016,1320,THU,PLAZA TL S,Yes,3.0,326.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"1598 INDEPENDENCE BL S
VIRGINIA BEACH, VA
(36.813275, -76.125127)"
2016044990.0,10/30/2016,2016,SUN,ROSELYNNE LANE,Yes,2.0,224.0,0,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"1500 VIRGINIA BEACH BOULEVARD
VIRGINIA BEACH, VA
(36.84277, -76.013151)"
2016050158.0,12/07/2016,1704,WED,BONNEY RD,99999 Feet From,3.0,324.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"200 INDEPENDENCE BL S
VIRGINIA BEACH, VA
(36.830883, -76.13735)"
2016049437.0,12/02/2016,951,FRI,5100 PRINCESS ANNE RD,Yes,4.0,422.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"500 KEMPSVILLE RD
VIRGINIA BEACH, VA
(36.824754, -76.160926)"
2016050226.0,12/08/2016,645,THU,BREEZEWOOD AR,Yes,4.0,425.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,ANGLE,"1539 INDIAN LAKES BL
VIRGINIA BEACH, VA
(36.793169, -76.163835)"
2016049967.0,12/06/2016,940,TUE,LIFETIME CI,00.10 Miles From,1.0,125.0,1,SHOULDER,RAIN,DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,FIXED OBJECT-OFF ROAD,"3999 INDIAN RIVER RD
VIRGINIA BEACH, VA
(36.754215, -76.130484)"
2016047736.0,11/19/2016,817,SAT,5500 BLACKWATER RD,00.60 Miles From,1.0,120.0,1,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,FIXED OBJECT-OFF ROAD,"2800 PUNGO FERRY RD
VIRGINIA BEACH, VA
(36.612942, -76.081199)"
2016047159.0,11/15/2016,1610,TUE,WESTSAIL LA,Yes,3.0,330.0,0,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DUSK,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"4700 SHORE DR
VIRGINIA BEACH, VA
(36.903973, -76.132229)"
2016047538.0,11/18/2016,659,FRI,BUCKNER BL,Yes,1.0,128.0,1,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,PEDESTRIAN,"1599 ROSEMONT RD S
VIRGINIA BEACH, VA
(36.788914, -76.096976)"
2016049317.0,12/01/2016,1510,THU,3301 HOLLAND RD,Yes,1.0,128.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,CONCRETE,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,MAIN-LINE ROADWAY,FOUR APPROACHES,NO,,,,NO,PEDESTRIAN,"1195 LYNNHAVEN PW
VIRGINIA BEACH, VA
(36.799108, -76.086593)"
2016049287.0,12/01/2016,1224,THU,4300 SILVERLEAF DR,Yes,4.0,426.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,CONCRETE,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,MAIN-LINE ROADWAY,FOUR APPROACHES,NO,,,,NO,ANGLE,"1300 INDEPENDENCE BL S
VIRGINIA BEACH, VA
(36.823099, -76.127194)"
2016042862.0,10/16/2016,1140,SUN,OLD GREAT NECK RD,Yes,2.0,222.0,1,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,MAIN-LINE ROADWAY,THREE APPROACHES,NO,,,,NO,PEDESTRIAN,"601 GREAT NECK RD N
VIRGINIA BEACH, VA
(36.85037, -76.048364)"
2016046890.0,11/13/2016,1245,SUN,1000 PARKLAND LA,Yes,4.0,421.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"5500 INDIAN RIVER RD
VIRGINIA BEACH, VA
(36.800953, -76.181782)"
2016046975.0,11/14/2016,900,MON,FIVE FORKS RD,Yes,3.0,329.0,3,ON ROADWAY,RAIN,DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS",UNKNOWN,NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"1430 INDEPENDENCE BL
VIRGINIA BEACH, VA
(36.886267, -76.135651)"
2016043547.0,10/20/2016,1700,THU,INDIAN CREEK RD,00.01 Miles From,1.0,120.0,1,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,NON-COLLISION,"5999 BLACKWATER RD
VIRGINIA BEACH, VA
(36.586099, -76.083325)"
2016045714.0,11/04/2016,1857,FRI,16TH ST,Yes,2.0,227.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1599 CYPRESS AV
VIRGINIA BEACH, VA
(36.842856, -75.982722)"
2016048552.0,11/25/2016,1536,FRI,100 ROSEMONT RD S,00.05 Miles From,3.0,322.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,REAR END,"3750 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.839984, -76.102222)"
